protocol,pool_address,pool_configurator_address,reserve_address,reserve_symbol,supply_token_address,supply_token_symbol,stable_debt_token_address,variable_debt_token_address,decimals,token_class,start_date
Aave V3,0xb50201558B00496A145fE76f7424749556E326D8,0x7304979ec9E4EaA0273b6A037a31c4e9e5A75D16,0x9C58BAcC331c9aa871AFD802DB6379a98e80CEdb,GNO,0xA1Fa064A85266E2Ca82DEe5C5CcEC84DF445760e,aGnoGNO,0x1a126f613D7705e59adB39909B25e1223AdF05dd,0xbc59E99198DBa71985A66e1713cC89ffec53f7FC,18,OTHERS,2022-12-14
Aave V3,0xb50201558B00496A145fE76f7424749556E326D8,0x7304979ec9E4EaA0273b6A037a31c4e9e5A75D16,0xe91D153E0b41518A2Ce8Dd3D7944Fa863463a97d,WxDAI,0xd0Dd6cEF72143E22cCed4867eb0d5F2328715533,aGnoWXDAI,0xaC8b1Ce0548C69318920C3e0b21DB296D5770D57,0x281963D7471eCdC3a2bd4503e24e89691cfE420d,18,STABLECOIN,2022-12-14
Aave V3,0xb50201558B00496A145fE76f7424749556E326D8,0x7304979ec9E4EaA0273b6A037a31c4e9e5A75D16,0xaf204776c7245bF4147c2612BF6e5972Ee483701,sDAI,0x7a5c3860a77a8DC1b225BD46d0fb2ac1C6D191BC,aGnosDAI,0xa2e0335175DA40B081717Ffd394c0e1dE738cB9B,0x8fe06E1D8Aff42Bf6812CAcf7854A2249a00bEd7,18,STABLECOIN,2023-09-28
Aave V3,0xb50201558B00496A145fE76f7424749556E326D8,0x7304979ec9E4EaA0273b6A037a31c4e9e5A75D16,0xDDAfbb505ad214D7b80b1f830fcCc89B60fb7A83,USDC,0xc6B7AcA6DE8a6044E0e32d0c841a89244A10D284,aGnoUSDC,0x8220133C3a631De3C7A5B679a2417Bd61431feCF,0x5F6f7B0a87CA3CF3d0b431ae03EF3305180bFf4d,6,STABLECOIN,2022-12-14
Aave V3,0xb50201558B00496A145fE76f7424749556E326D8,0x7304979ec9E4EaA0273b6A037a31c4e9e5A75D16,0xcB444e90D8198415266c6a2724b7900fb12FC56E,EURe,0xEdBC7449a9b594CA4E053D9737EC5Dc4CbCcBfb2,aGnoEURe,0x916E13857FeeD0D982df148dbe8d8542519Ab96E,0xB96404e475F337a7E98e4a541C9b71309Bb66c5A,18,STABLECOIN,2023-10-30
Aave V3,0xb50201558B00496A145fE76f7424749556E326D8,0x7304979ec9E4EaA0273b6A037a31c4e9e5A75D16,0x2a22f9c3b484c3629090FeED35F17Ff8F88f76F0,USDC.e,0xC0333cb85B59a788d8C7CAe5e1Fd6E229A3E5a65,aGnoUSDCe,0x135a7ba96FBE20949cF2d8e46c7f5ca3bB1EE222,0x37b9Ad6B5DC8AD977aD716E92f49E9D200e58431,6,STABLECOIN,2024-07-01
SparkLend,0x2Dae5307c5E3FD1CF5A72Cb6F698f915860607e0,0x2Fc8823E1b967D474b47Ae0aD041c2ED562ab588,0x9C58BAcC331c9aa871AFD802DB6379a98e80CEdb,GNO,0x5671b0B8aC13DC7813D36B99C21c53F6cd376a14,spGNO,0x2f589BADbE2024a94f144ef24344aF91dE21a33c,0xd4bAbF714964E399f95A7bb94B3DeaF22d9F575d,18,OTHERS,2023-10-06
SparkLend,0x2Dae5307c5E3FD1CF5A72Cb6F698f915860607e0,0x2Fc8823E1b967D474b47Ae0aD041c2ED562ab588,0x6A023CCd1ff6F2045C3309768eAd9E68F978f6e1,WETH,0x629D562E92fED431122e865Cc650Bc6bdE6B96b0,spWETH,0xe21Bf3FB5A2b5Bf7BAE8c6F1696c4B097F5D2f93,0x0aD6cCf9a2e81d4d48aB7db791e9da492967eb84,18,OTHERS,2023-10-06
SparkLend,0x2Dae5307c5E3FD1CF5A72Cb6F698f915860607e0,0x2Fc8823E1b967D474b47Ae0aD041c2ED562ab588,0x6C76971f98945AE98dD7d4DFcA8711ebea946eA6,wstETH,0x9Ee4271E17E3a427678344fd2eE64663Cb78B4be,spwstETH,0x0F0e336Ab69D9516A9acF448bC59eA0CE79E4a42,0x3294dA2E28b29D1c08D556e2B86879d221256d31,18,OTHERS,2023-10-06
SparkLend,0x2Dae5307c5E3FD1CF5A72Cb6F698f915860607e0,0x2Fc8823E1b967D474b47Ae0aD041c2ED562ab588,0xe91D153E0b41518A2Ce8Dd3D7944Fa863463a97d,WxDAI,0xC9Fe2D32E96Bb364c7d29f3663ed3b27E30767bB,spWXDAI,0xab1B62A1346Acf534b581684940E2FD781F2EA22,0x868ADfDf12A86422524EaB6978beAE08A0008F37,18,STABLECOIN,2023-10-06
SparkLend,0x2Dae5307c5E3FD1CF5A72Cb6F698f915860607e0,0x2Fc8823E1b967D474b47Ae0aD041c2ED562ab588,0xaf204776c7245bF4147c2612BF6e5972Ee483701,sDAI,0xE877b96caf9f180916bF2B5Ce7Ea8069e0123182,spsDAI,0x2cF710377b3576287Be7cf352FF75D4472902789,0x1022E390E2457A78E18AEEE0bBf0E96E482EeE19,18,STABLECOIN,2023-10-06
SparkLend,0x2Dae5307c5E3FD1CF5A72Cb6F698f915860607e0,0x2Fc8823E1b967D474b47Ae0aD041c2ED562ab588,0xDDAfbb505ad214D7b80b1f830fcCc89B60fb7A83,USDC,0x5850D127a04ed0B4F1FCDFb051b3409FB9Fe6B90,spUSDC,0x40BF0Bf6AECeE50eCE10C74E81a52C654A467ae4,0xBC4f20DAf4E05c17E93676D2CeC39769506b8219,6,STABLECOIN,2024-04-28
SparkLend,0x2Dae5307c5E3FD1CF5A72Cb6F698f915860607e0,0x2Fc8823E1b967D474b47Ae0aD041c2ED562ab588,0x2a22f9c3b484c3629090FeED35F17Ff8F88f76F0,USDC.e,0xA34DB0ee8F84C4B90ed268dF5aBbe7Dcd3c277ec,spUSDC.e,0xC5dfde524371F9424c81F453260B2CCd24936c15,0x397b97b572281d0b3e3513BD4A7B38050a75962b,6,STABLECOIN,2024-07-01
SparkLend,0x2Dae5307c5E3FD1CF5A72Cb6F698f915860607e0,0x2Fc8823E1b967D474b47Ae0aD041c2ED562ab588,0x4ECaBa5870353805a9F068101A40E0f32ed605C6,USDT,0x08B0cAebE352c3613302774Cd9B82D08afd7bDC4,spUSDT,0x4cB3F681B5e393947BD1e5cAE84764f5892923C2,0x3A98aBC6F46CA2Fc6c7d06eD02184D63C55e19B2,6,STABLECOIN,2024-04-28
SparkLend,0x2Dae5307c5E3FD1CF5A72Cb6F698f915860607e0,0x2Fc8823E1b967D474b47Ae0aD041c2ED562ab588,0xcB444e90D8198415266c6a2724b7900fb12FC56E,EURe,0x6dc304337BF3EB397241d1889cAE7da638e6e782,spEURe,0x80F87B8F9c1199e468923D8EE87cEE311690FDA6,0x0b33480d3FbD1E2dBE88c82aAbe191D7473759D5,18,STABLECOIN,2024-04-28
